Gene	Ensembl	MGI	Sum
B430305J03Rik	true	true	2
B430306N03Rik	true	true	2
B630019K06Rik	true	true	2
B830017H08Rik	true	true	2
B930094E09Rik	true	true	2
BB014433	true	true	2
BC024063	true	true	2
BC024139	true	true	2
BC030500	true	true	2
BC035044	true	true	2
BC048679	true	true	2
BC061237	true	true	2
BC107364	true	true	2
BC147527	true	true	2
Bmyc	true	true	2
Bpifa6	true	true	2
Bpifb9b	true	true	2
Brd8dc	true	true	2
Bsph2	true	true	2
Btbd35f1	true	true	2
Btbd35f10	true	true	2
Btbd35f11	true	true	2
Btbd35f12	true	true	2
Btbd35f13	true	true	2
Btbd35f14	true	true	2
Btbd35f15	true	true	2
Btbd35f16	true	true	2
Btbd35f17	true	true	2
Btbd35f18	true	true	2
Btbd35f19	true	true	2
Btbd35f2	true	true	2
Btbd35f20	true	true	2
Btbd35f21	true	true	2
Btbd35f22	true	true	2
Btbd35f23	true	true	2
Btbd35f24	true	true	2
Btbd35f25	true	true	2
Btbd35f26	true	true	2
Btbd35f27	true	true	2
Btbd35f28	true	true	2
Btbd35f29	true	true	2
Btbd35f3	true	true	2
Btbd35f4	true	true	2
Btbd35f5	true	true	2
Btbd35f6	true	true	2
Btbd35f7	true	true	2
Btbd35f8	true	true	2
Btbd35f9	true	true	2
C130050O18Rik	true	true	2
Car15	true	true	2
Carlr	true	true	2
Cbr2	true	true	2
Cdcp3	true	true	2
Clca3a1	true	true	2
Clca3a2	true	true	2
Clca3b	true	true	2
Cma2	true	true	2
Col6a4	true	true	2
Crxos	true	true	2
Cspg4b	true	true	2
Csprs	true	true	2
Cstad	true	true	2
Cstdc1	true	true	2
Ctla2a	true	true	2
Ctla2b	true	true	2
Cxcl15	true	true	2
Cym	true	true	2
Cyp2c70	true	true	2
Cyp2j7	true	true	2
Cypt1	true	true	2
Cypt12	true	true	2
Cypt14	true	true	2
Cypt15	true	true	2
Cypt2	true	true	2
Cypt3	true	true	2
Cypt4	true	true	2
D13Ertd608e	true	true	2
D6Ertd527e	true	true	2
D830030K20Rik	true	true	2
D930048N14Rik	true	true	2
Dcpp1	true	true	2
Defb10	true	true	2
Defb11	true	true	2
Defb2	true	true	2
Defb33	true	true	2
Defb37	true	true	2
Defb38	true	true	2
Defb39	true	true	2
Defb40	true	true	2
Defb45	true	true	2
Defb46	true	true	2
Defb50	true	true	2
Defb9	true	true	2
Dmrtc1c1	true	true	2
Dmrtc1c2	true	true	2
Dppa1	true	true	2
Duxf3	true	true	2
E030018B13Rik	true	true	2
E030025P04Rik	true	true	2
E030030I06Rik	true	true	2
E130114P18Rik	true	true	2
E130116L18Rik	true	true	2
E130208F15Rik	true	true	2
E130218I03Rik	true	true	2
E230025N22Rik	true	true	2
Efcab15	true	true	2
Eif1ad10	true	true	2
Eif1ad11	true	true	2
Eif1ad12	true	true	2
Eif1ad14	true	true	2
Eif1ad15	true	true	2
Eif1ad16	true	true	2
Eif1ad17	true	true	2
Eif1ad18	true	true	2
Elobl	true	true	2
Erv3	true	true	2
Esp1	true	true	2
Esp15	true	true	2
Esp16	true	true	2
Esp18	true	true	2
Esp22	true	true	2
