Gene	Ensembl	Sum
Akr1c12	true	1
Akr1c13	true	1
Akr1c14	true	1
Akr1c18	true	1
Akr1c19	true	1
Akr1c20	true	1
Akr1c21	true	1
Akr1c6	true	1
Akr1cl	true	1
Albfm1	true	1
Alox12e	true	1
Alx1	true	1
Amhr2	true	1
Amy1	true	1
Amy2a1	true	1
Amy2a2	true	1
Amy2a3	true	1
Amy2a4	true	1
Amy2a5	true	1
Anapc15	true	1
Ank3	true	1
Ankrd36	true	1
Ankrd52	true	1
Anks1b	true	1
Aox2	true	1
Aox3	true	1
Aox4	true	1
Apaf1	true	1
Apela	true	1
Apof	true	1
Apon	true	1
Arhgap33os	true	1
Arhgef4	true	1
Arpc1a	true	1
Art2b	true	1
Atad2	true	1
Atf7	true	1
Atp1b4	true	1
Atp5g1	true	1
Atp5g2	true	1
Atp6ap1l	true	1
Atp8b5	true	1
Aym1	true	1
B020031M17Rik	true	1
B230217C12Rik	true	1
B230307C23Rik	true	1
B430305J03Rik	true	1
B430306N03Rik	true	1
B4galt6	true	1
B630019K06Rik	true	1
B830017H08Rik	true	1
B930094E09Rik	true	1
BB014433	true	1
BC024063	true	1
BC024139	true	1
BC024978	true	1
BC030500	true	1
BC035044	true	1
BC048679	true	1
BC051665	true	1
BC061237	true	1
BC107364	true	1
BC147527	true	1
Banf1	true	1
Baz2a	true	1
Bcl2l10	true	1
Bclaf1	true	1
Bet1	true	1
Bet1l	true	1
Bloc1s1	true	1
Bmp8a	true	1
Bmp8b	true	1
Bmyc	true	1
Bpifa6	true	1
Bpifb5	true	1
Bpifb9a	true	1
Bpifb9b	true	1
Brd3os	true	1
Brd8dc	true	1
Bsph2	true	1
Btbd35f1	true	1
Btbd35f10	true	1
Btbd35f11	true	1
Btbd35f12	true	1
Btbd35f13	true	1
Btbd35f14	true	1
Btbd35f15	true	1
Btbd35f16	true	1
Btbd35f17	true	1
Btbd35f18	true	1
Btbd35f19	true	1
Btbd35f2	true	1
Btbd35f20	true	1
Btbd35f21	true	1
Btbd35f22	true	1
Btbd35f23	true	1
Btbd35f24	true	1
Btbd35f25	true	1
Btbd35f26	true	1
Btbd35f27	true	1
Btbd35f28	true	1
Btbd35f29	true	1
Btbd35f3	true	1
Btbd35f4	true	1
Btbd35f5	true	1
Btbd35f6	true	1
Btbd35f7	true	1
Btbd35f8	true	1
Btbd35f9	true	1
Btg1b	true	1
Btg1c	true	1
Btnl1	true	1
Btnl10	true	1
Btnl4	true	1
Btnl6	true	1
C130026I21Rik	true	1
C130050O18Rik	true	1
C1galt1c1	true	1
C2cd4a	true	1
C2cd4b	true	1
Cabcoco1	true	1
Cadps	true	1
Calcoco1	true	1
Calr4	true	1
Camk2d	true	1
Capn12	true	1
Capza1	true	1
Car15	true	1
Carlr	true	1
Casp4	true	1
Casz1	true	1
Cbr2	true	1
Cbx3	true	1
Cbx5	true	1
Ccdc121	true	1
Ccdc162	true	1
Ccdc163	true	1
Ccdc166	true	1
Ccdc183	true	1
Ccdc63	true	1
Ccdc7a	true	1
Ccdc7b	true	1
Ccdc92b	true	1
Ccdc96	true	1
Ccer2	true	1
Ccl1	true	1
Ccl25	true	1
Ccl26	true	1
Ccl5	true	1
Cd63	true	1
Cd68	true	1
Cd99l2	true	1
Cdcp3	true	1
Cdiptos	true	1
Cdk1	true	1
Cdk2	true	1
Cdkn2a	true	1
Cenpx	true	1
Ces1a	true	1
Ces1e	true	1
Ces1f	true	1
Ces2h	true	1
Cetn4	true	1
Cfap47	true	1
Cfap53	true	1
Cfh	true	1
Cfhr2	true	1
Cfhr4	true	1
Chst5	true	1
Clca3a1	true	1
Clca3a2	true	1
Clca3b	true	1
Cldn22	true	1
Cldn24	true	1
Cldn4	true	1
Clec2f	true	1
Cma2	true	1
Cmah	true	1
Cmc2	true	1
Cnga2	true	1
Cnpy2	true	1
Cntnap5a	true	1
Cntnap5b	true	1
Cntnap5c	true	1
Col10a1	true	1
Col22a1	true	1
Col24a1	true	1
Col6a4	true	1
Col7a1	true	1
Col9a3	true	1
Cops9	true	1
Copz1	true	1
Coq10a	true	1
Coq8b	true	1
Cox8c	true	1
Crct1	true	1
Crxos	true	1
Crygd	true	1
Cryge	true	1
Crygf	true	1
Cryzl2	true	1
Cs	true	1
Csgalnact1	true	1
Csl	true	1
Csn1s2a	true	1
Csn1s2b	true	1
Cspg4b	true	1
Csprs	true	1
Cst12	true	1
Cst13	true	1
Cstad	true	1
